Fecha,Precio/litro Nacional - SIGLeA,Precio/kg. de SU Nacional - SIGLeA,IPC - INDEC CoberNac,"Leche, Productos Lácteos y Huevos GBA -INDEC",IPIM Nivel General - INDEC,IPIM Lácteos - INDEC,DOLAR OFICIAL $/US$,PRODUCCION NACIONAL DE LECHE millones de lts./mes,Producción diaria por tambos NACIONAL,GRASA BUTIROSA %,PROTEINA %,UFC/ml en miles,CELULAS SOMÁTICAS en miles,RELACION LECHE/MAIZ,RELACION VAQUILLONA AL PARIR - LECHE,COSTO,RENTABILIDAD,EXPORTACIONES miles de US$/mes,EXPORTACIONES toneladas/mes,ELABORACIÓN TOTAL,EXISTENCIAS TOTAL,VENTAS TOTALES,LECHE COMUN ENTERA $/litro,QUESO TIPO CUARTIROLO $/kg,YOGUR para beber sachet $/1000 grs,LPE GDT dólares/ton.,Indice de Precios de los Lácteos FAO,Cabezas Novillitos,Precio Promedio Novillitos,Cabezas Novillos,Precio Promedio Novillos,Cabezas Toros,Precio Promedio Toros,Cabezas Vacas,Precio Promedio Vacas,Cabezas Vaquillonas,Precio Promedio Vaquillonas,IPC-Mensual,IPC-Alimentos y bebidas no alcohólicas,Litros,BUENOS AIRES,CORDOBA,ENTRE RIOS,LA PAMPA,SANTA FE,SANTIAGO DEL ESTERO,Salario Tendencia de ciclo,Salario Desestacionalizado,Promedio del sector,Promedio general sector privado,Temperatura_Abrigo_150cm,Temperatura_Abrigo_150cm_Maxima,Temperatura_Abrigo_150cm_Minima,Temperatura_Suelo_10cm_Media,Precipitacion_Pluviometrica,Precipitacion_Cronologica,Precipitacion_Maxima_30minutos,Tesion_Vapor_Media,Humedad_Media,Humedad_Media_8_14_20,Rocio_Medio,Horas_Frio,Unidades_Frio,Sequia,Inundacion,Terneros Precio Promedio,Terneros Cabezas
2018-11-01,8.93,131.1992078779382,179.6388,191.0637,273.8989290775265,248.8562672841816,36.459,942.6,2939.0,0.0354,0.033,119.1484759721583,438.4113235947137,1.902276049279599,4336.0,9.26,-0.012,117423.0,40667.0,220922.3402259906,122647.0,189941.0,28.03,215.58,46.18,2627.0,99.99313476222773,1055.5,45.26355555555556,452.1,43.12205,172.7,34.73975,1609.1,33.8678,461.2222222222222,41.06588888888889,3.2,3.4,942600000.0,-0.0457398430508327,-0.0380263617379563,-0.0680184571893208,0.0050729817932059,-0.0563156206216285,-0.0404717681574606,19221.12870201898,19289.64620669826,19867.78262468057,35225.64231990577,22.21604266666667,29.04333333333333,16.29333333333333,22.70648133333333,10.64166666666667,10.63333333333333,4.025,19.08953933333333,73.56666666666666,68.66666666666667,16.36677283333333,0.0,-19.6876221,0,0,44.20078947368421,1590.2631578947369
2018-12-01,9.28,137.5106430229399,184.2552,197.8399,277.3993529463231,255.7418788070093,37.8852,910.6,2807.0,0.0349707969883923,0.0324712586940036,122.136671336492,422.896922555501,1.727798521121604,4025.0,9.36,0.003,108588.0,38709.0,210230.4720119992,116725.0,182187.0,29.56,222.86,48.29,2671.0,97.84823706343602,1223.5,47.848,553.1764705882352,43.65141176470588,173.1666666666667,33.94761111111112,1661.111111111111,31.84883333333333,531.6111111111111,43.56838888888889,2.6,1.7,910557974.5146585,-0.0469011497253942,-0.0451429229619856,-0.0633590777102698,-0.0133817652328207,-0.0514551444894593,-0.0504087959490388,19858.11875803761,19863.51027471815,29293.32413274443,51732.16898481005,24.09599161290323,31.28387096774193,17.7741935483871,24.33855258064516,2.701612903225806,2.709677419354839,1.411290322580645,21.40162290322581,72.45161290322581,66.74193548387096,17.97239,0.0,-21.51576709677419,0,0,48.030277777777776,1568.611111111111
2019-01-01,9.63,142.5677040624818,189.6101,204.4208,278.9789497959669,265.5285835954608,37.4069,819.9,2517.0,0.0355821461307291,0.0324208328394587,110.3054457648462,419.0061358613818,1.772448611611972,3510.0,9.6,0.001,77366.09046,27616.80477000001,214276.4887098026,105630.0,186721.0,31.92,232.35,49.89,2741.0,100.94697874527,1394.470588235294,54.76764705882353,769.9411764705883,51.34317647058824,203.3333333333333,36.5035,2124.842105263158,36.69784210526316,623.9411764705883,49.95794117647058,2.9,3.4,819920899.7959726,-0.0921872442536629,-0.1110852273298899,-0.1401181763734786,0.0174915440157672,-0.1277390015898535,-0.1405771114051476,20541.08503356719,20793.29485514397,21886.85732139976,39454.58071799599,24.82748580645161,30.38064516129032,20.29677419354839,26.12896548387097,6.725806451612903,6.725806451612903,3.306451612903226,26.96223129032258,86.35483870967742,83.61290322580645,22.06154741935484,0.0,-23.05528677419355,0,0,54.683470588235295,1571.3529411764705
2019-02-01,10.45,153.7127478472086,196.7501,210.7294,288.3634789978899,281.4310760661376,38.4086,668.3,2241.0,0.0356999999999999,0.0327999999999999,98.57529621196925,452.0157562323127,1.971073613944001,4282.0,9.71,0.03,72130.19163,24692.38734,188018.9659336492,99600.0,171107.0,32.52,250.59,50.8,3025.0,103.7642895416886,1235.8125,63.0445,737.625,59.4320625,210.3333333333333,39.03406666666667,1925.166666666667,37.43994444444444,753.3846153846154,61.03507692307692,3.8,5.7,668290919.9942639,-0.0867350663989509,-0.110908744317763,-0.1008033013587491,-0.0542637216751154,-0.117182148971849,-0.1440215985426701,21301.73368788661,21196.53742182676,21356.02720661541,38365.91604121781,23.7888125,30.21785714285715,17.80714285714286,25.82924142857143,2.125,2.125,1.4375,23.15129607142857,79.21428571428571,75.03571428571429,19.45837035714285,0.0,-20.98123821428572,0,0,65.24284615384616,1498.3076923076924
2019-03-01,11.76,167.4046131927453,205.9571,225.6359,300.2045079752881,301.5685339623191,41.3624,745.5,2273.0,0.0367,0.0341,85.27805177144904,431.8454347227425,2.131583614115978,3644.0,9.93,0.0678,61528.3893,20521.78734,204128.1477638415,98328.0,181772.0,34.84,272.62,55.23,3252.0,105.6475341196449,1392.333333333333,63.9532,728.4375,59.8893125,201.625,37.2924375,2608.6875,35.8028125,671.0625,58.9885625,4.7,6.0,745502227.9659461,0.0205359704283489,-0.0086231417359343,0.0403340209744215,-0.0393704514105709,-0.025937163584798,-0.0308784759920932,22125.03951650616,23573.30681824156,23579.07760748099,41439.23097593662,20.68579741935484,27.09677419354839,15.39677419354839,23.50898387096774,3.330645161290323,2.145161290322581,0.5645161290322581,20.63447548387096,84.61290322580645,81.38709677419355,17.64651129032258,0.0,-17.57727548387097,0,0,64.94453333333334,1727.5333333333333
2019-04-01,13.32,187.446605565093,213.0517,241.4468,313.9611753726114,326.7399520242287,43.2338,736.9,2318.0,0.0371,0.0346,80.33465941924678,406.2822175301163,2.372733612273361,4100.0,10.89,0.0699,51472.19197,17578.15523,195585.1997981787,95541.0,183071.0,37.98,306.89,57.14,3278.0,106.1280062102276,940.6875,63.6098125,542.9375,59.51525,144.7058823529412,38.14835294117648,2663.529411764706,36.72205882352941,765.3333333333334,58.19333333333334,3.4,2.5,736863109.7733406,0.0302499183153918,-0.0473583805362983,-0.0307977510786086,0.0219219112876853,0.008695589560739,-0.0318158037421405,22974.57406881619,23168.62961903217,23020.06132535138,41133.9884265174,19.34215233333333,25.68666666666667,13.90333333333333,21.29344866666666,3.6,4.825,1.166666666666667,18.78895133333333,84.56666666666666,81.03333333333333,16.14947433333333,0.0,-14.56927933333333,0,0,62.661142857142856,1395.857142857143
2019-05-01,14.54,203.5438753726399,219.5691,259.5312,329.4934559466275,347.3430607239384,44.9332,784.9,2378.0,0.0367197404603357,0.034182106798488,89.27366839433213,443.6150567620924,2.319837423792403,4094.0,11.42,0.084,48577.82919,16185.84661,218292.854176136,106927.38737,193747.0,41.76,335.15,63.26,3215.0,106.5928409895098,1380.555555555556,64.27994444444444,669.7058823529412,60.48841176470587,195.421052631579,41.27015789473685,3177.0,39.43765,1819.882352941177,60.6105294117647,3.1,2.4,784885780.8026069,0.0468975220711248,0.0279520874269384,0.0317990802923885,-0.0252141728085293,0.026734324538817,0.0104989827162052,23852.96556465196,24010.04831812656,23644.03365329614,42462.10016139577,16.05022107142857,20.92142857142857,11.99642857142857,18.06157214285714,2.767857142857143,2.758928571428572,0.7053571428571429,17.40089821428571,93.96428571428572,92.35714285714286,14.88813167857143,0.5039283928571429,-6.479934399999999,0,0,185.10390383941345,1125.6349445640762
2019-06-01,15.15,214.4,225.537,274.6849,334.9402343495996,352.5096633426015,43.7894,807.9,2530.0,0.0361541220424773,0.0338824112747467,91.47059290875438,433.3683930277568,2.212973593570609,4468.0,12.15,0.079,49724.97315000001,15712.78657,201615.074218447,112823.0,182140.0,41.76,338.3,66.01,3072.0,102.8910844472602,1327.6875,64.520875,660.375,60.6845625,149.5,42.2078125,2339.235294117647,40.48005882352942,1500.882352941177,61.70605882352941,2.7,2.6,807915920.6460427,-0.0047566321786114,0.0400925006294986,0.060864849552978,-0.0380342830410599,0.0371469746897349,0.0978654297190811,24782.22780429368,24719.84196824797,33726.08281974571,61343.26937996325,14.81520217857143,20.725,9.975,15.83184535714286,0.5892857142857143,0.5982142857142857,0.4017857142857143,15.34136467857143,88.78571428571429,86.07142857142857,12.56492146428571,1.760785214285714,-3.613467714285715,0,0,185.10390383941345,1125.6349445640762
2019-07-01,15.31,218.3502532686622,230.494,282.0669,335.1985972038125,361.0801661168906,42.5434,897.4,2756.0,0.0350307215667063,0.0329614225089872,95.47530265393785,468.1668115420634,2.475766724932464,4461.0,12.19,0.083,61674.39053999999,19361.28344,221281.3683526012,118952.0,184898.0,43.1,343.71,66.86,3022.0,101.0642111777399,1375.888888888889,63.76361111111112,821.3333333333334,60.55106666666666,259.3529411764706,46.75523529411765,2621.263157894737,43.19342105263158,1708.6875,61.9033125,2.2,2.3,897366475.769946,0.0480949045354274,0.0877443935811436,0.0888756086898594,0.062061810633567,0.0888005574897692,0.1019362379819211,25785.53100541274,25698.95983550417,24830.97505505113,45090.72499554641,12.27404796296296,19.72962962962963,6.048148148148148,13.21247296296296,0.0277777777777777,0.0277777777777777,0.0277777777777777,12.08879766666667,82.85185185185185,80.22222222222223,9.073402185185184,4.445111296296297,3.894853537037037,0,0,185.10390383941345,1125.6349445640762
2019-08-01,15.38,220.52,239.6077,290.0363,372.7857902776771,371.9279689712743,52.7271,967.1,2994.0,0.035990676481465,0.0340707382102942,74.3803744453125,372.8651134887532,2.35373740412092,5527.0,13.9,0.033,75579.52342,24249.86642,206209.0921989405,131118.0,191742.0,43.61,352.33,68.03,3070.0,100.2996521292163,1493.833333333333,66.71572222222223,916.1428571428572,65.36171428571429,221.625,54.1240625,1941.35,51.7596,1881.0625,66.0906875,4.0,4.5,967051832.593328,0.0910841202638898,0.0692669635027969,0.0694945215033908,0.0102749319850458,0.0849994752148901,0.1143991635008054,26836.1497014477,27008.12402596229,27019.85689752459,46149.95270270005,12.9859717,20.44333333333333,6.430000000000001,13.469259,0.3416666666666667,0.225,0.2083333333333333,11.8793916,78.2,74.53333333333333,8.6809257,4.487533066666667,1.665532736666667,0,0,185.10390383941345,1125.6349445640762
